,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
80,Sorong,-0.8833,131.25,76.64,85,100,8.03,ID,1627235606
81,Bluff,-46.6,168.3333,47.8,82,100,5.91,NZ,1627235606
82,Ko Samui,9.5357,99.9357,83.1,76,100,17.13,TH,1627235606
83,Narsaq,60.9167,-46.05,57.42,48,100,4.34,GL,1627235316
84,Chadan,51.2833,91.5833,61.74,79,43,4.05,RU,1627235607
85,Bredasdorp,-34.5322,20.0403,53.28,87,100,5.75,ZA,1627235607
86,Tiksi,71.6872,128.8694,48.0,81,83,7.23,RU,1627235487
87,Olenegorsk,68.15,33.3,51.44,67,96,6.71,RU,1627235607
88,San Cristobal,7.7669,-72.225,75.38,49,100,5.28,VE,1627235484
89,Ishikari,43.2397,141.3539,71.83,93,11,12.91,JP,1627235607
90,Mar del Plata,-38.0023,-57.5575,57.22,59,90,8.99,AR,1627235553
91,Torbay,47.6666,-52.7314,63.28,93,90,10.36,CA,1627235608
92,Sawākin,19.1059,37.3321,90.75,51,19,9.1,SD,1627235608
93,Akdepe,42.0551,59.3788,95.0,36,0,18.66,TM,1627235608
94,Hambantota,6.1241,81.1185,80.02,80,82,17.56,LK,1627235549
95,Simbahan,6.3032,120.5836,83.25,80,14,9.66,PH,1627235609
96,Qaanaaq,77.484,-69.3632,40.23,70,88,5.48,GL,1627235609
97,Bakchar,57.0186,82.0711,66.24,93,32,3.58,RU,1627235609
98,Cap Malheureux,-19.9842,57.6142,72.09,59,0,8.99,MU,1627235609
99,Padang,-0.9492,100.3543,78.21,85,30,3.27,ID,1627235610
100,Mahébourg,-20.4081,57.7,71.89,60,40,11.5,MU,1627235610
101,Palembang,-2.9167,104.7458,73.11,91,0,4.5,ID,1627235610
102,Lavrentiya,65.5833,-171.0,44.06,99,100,4.99,RU,1627235611
103,Castro,-24.7911,-50.0119,70.07,41,2,7.7,BR,1627235611
104,Hithadhoo,-0.6,73.0833,80.87,74,85,3.24,MV,1627235479
105,Caravelas,-17.7125,-39.2481,74.16,65,59,7.49,BR,1627235611
106,Hilo,19.7297,-155.09,77.61,93,90,5.75,US,1627235326
107,Ambikāpur,23.1167,83.2,76.75,86,52,7.49,IN,1627235611
108,Sosnovo-Ozerskoye,52.5249,111.5418,56.23,72,100,4.9,RU,1627235612
109,Pokhara,28.2333,83.9833,74.61,93,100,1.95,NP,1627235612
110,Ust'-Kulom,61.6864,53.6902,54.63,67,91,5.44,RU,1627235612
111,San Policarpo,12.1791,125.5072,81.57,77,60,10.27,PH,1627235613
112,Dikson,73.5069,80.5464,38.34,89,54,13.18,RU,1627235315
113,Port Alfred,-33.5906,26.891,61.03,49,27,11.43,ZA,1627235613
114,Altus,34.6381,-99.334,98.11,47,1,4.61,US,1627235613
115,Whitley Bay,55.0397,-1.4471,67.8,77,40,6.91,GB,1627235614
116,Thompson,55.7435,-97.8558,57.36,54,75,11.5,CA,1627235614
117,Atbasar,51.8,68.3333,64.81,59,6,8.39,KZ,1627235379
118,Sampit,-2.5333,112.95,71.38,96,0,2.24,ID,1627235614
119,Mossamedes,-15.1961,12.1522,68.05,67,0,3.8,AO,1627235387
120,Kungurtug,50.5994,97.5228,54.59,94,99,1.79,RU,1627235615
121,Tay Ninh,11.3,106.1,76.1,88,60,5.37,VN,1627235615
122,Kaitangata,-46.2817,169.8464,49.93,62,100,4.85,NZ,1627235345
123,Tautira,-17.7333,-149.15,75.22,67,2,10.07,PF,1627235615
124,Kyzyl-Mazhalyk,51.1333,90.6,62.01,71,57,0.81,RU,1627235615
125,Otradnoye,59.7775,30.8181,69.94,63,50,2.75,RU,1627235616
126,Patacamaya,-17.2333,-67.9167,56.41,25,8,10.98,BO,1627235616
127,Youghal,51.95,-7.8506,72.61,74,16,5.28,IE,1627235616
128,Charters Towers,-20.1,146.2667,53.83,41,5,8.01,AU,1627235617
129,Airai,-8.9266,125.4092,55.54,51,40,3.06,TL,1627235582
130,Anadyr,64.75,177.4833,52.3,93,90,4.0,RU,1627235496
131,Amazar,53.858,120.875,60.58,85,98,4.52,RU,1627235617
132,Pangai,-19.8,-174.35,73.51,94,20,0.0,TO,1627235617
133,Kuala Terengganu,5.3302,103.1408,82.35,89,20,1.14,MY,1627235618
134,Nemuro,43.3236,145.575,61.16,93,1,5.84,JP,1627235440
135,Karpathos,35.507,27.2132,78.76,94,20,26.46,GR,1627235618
136,Bandarbeyla,9.4942,50.8122,79.86,63,71,26.44,SO,1627235587
137,Jamestown,42.097,-79.2353,82.29,61,75,8.05,US,1627235618
138,Geraldton,-28.7667,114.6,48.61,93,0,12.66,AU,1627235619
139,Aklavik,68.2191,-135.0107,55.4,76,75,17.27,CA,1627235619
140,Saint Anthony,45.0205,-93.218,91.26,30,20,1.99,US,1627235619
141,Souillac,-20.5167,57.5167,71.98,60,40,11.5,MU,1627235619
142,Lázaro Cárdenas,17.9583,-102.2,86.11,71,32,4.45,MX,1627235620
143,Turbat,26.0023,63.044,86.22,70,59,6.44,PK,1627235524
144,Polessk,54.862,21.1028,77.05,65,70,8.68,RU,1627235620
145,Cabo San Lucas,22.8909,-109.9124,95.5,65,4,7.27,MX,1627235402
146,Muisne,0.6,-80.0333,82.51,77,95,11.65,EC,1627235546
147,Saint-Philippe,-21.3585,55.7679,69.39,77,37,11.39,RE,1627235597
148,West Bay,19.3667,-81.4167,88.0,72,40,1.99,KY,1627235620
149,Pointe-Noire,-4.7761,11.8635,75.27,83,75,5.75,CG,1627235621
150,Paharpur,32.1038,70.9724,103.82,31,1,6.8,PK,1627235621
151,Phan Thiet,10.9333,108.1,75.65,93,48,9.46,VN,1627235514
152,Launceston,-41.45,147.1667,44.8,90,75,1.99,AU,1627235490
153,San Quintín,30.4833,-115.95,68.58,82,100,6.4,MX,1627235621
154,Caucayá,-0.1934,-74.7819,85.68,54,91,2.95,CO,1627235622
155,Umm Hājar,13.2954,19.6966,81.64,63,99,6.35,TD,1627235622
156,Port Macquarie,-31.4333,152.9167,53.56,59,0,8.34,AU,1627235622
157,Cherskiy,68.75,161.3,41.97,72,27,7.54,RU,1627235401
158,Vicksburg,32.3526,-90.8779,94.68,57,1,4.61,US,1627235382
159,Vila Velha,-20.3297,-40.2925,76.96,56,40,9.22,BR,1627235401
160,Saint-Joseph,-21.3667,55.6167,68.38,75,20,11.83,RE,1627235623
161,Tual,-5.6667,132.75,79.86,79,98,19.13,ID,1627235525
162,Izumo,35.3667,132.7667,78.75,73,37,4.23,JP,1627235623
163,Tigil',57.8,158.6667,54.43,94,93,5.1,RU,1627235623
164,Severo-Kuril'sk,50.6789,156.125,53.69,97,82,3.36,RU,1627235501
165,Deputatsky,69.3,139.9,43.09,81,9,3.04,RU,1627235419
166,Lagoa,39.05,-27.9833,69.49,82,100,12.8,PT,1627235413
167,Huilong,31.8111,121.655,78.04,94,100,39.82,CN,1627235624
168,Chumikan,54.7183,135.315,62.47,92,28,11.32,RU,1627235624
169,Lorengau,-2.0226,147.2712,78.53,84,20,9.28,PG,1627235513
170,Hofn,64.2539,-15.2082,52.14,88,97,15.17,IS,1627235500
171,Hasaki,35.7333,140.8333,75.6,79,0,14.23,JP,1627235544
172,São José do Belmonte,-7.8614,-38.7597,87.82,27,0,11.27,BR,1627235625
173,Kruisfontein,-34.0033,24.7314,53.71,45,59,3.13,ZA,1627235559
174,Impfondo,1.6381,18.0667,80.62,55,94,1.59,CG,1627235625
175,North Bend,43.4065,-124.2243,68.16,83,40,8.05,US,1627235598
176,Reconquista,-29.15,-59.65,80.37,44,3,7.16,AR,1627235625
177,Lokosovo,61.1333,74.8167,55.67,96,100,12.8,RU,1627235626
178,Bathsheba,13.2167,-59.5167,88.41,74,75,18.41,BB,1627235626
179,Kavieng,-2.5744,150.7967,81.05,76,53,1.05,PG,1627235626
180,Upernavik,72.7868,-56.1549,41.0,82,47,11.56,GL,1627235343
181,Lüderitz,-26.6481,15.1594,66.45,25,74,4.34,NA,1627235500
182,Whitehorse,60.7161,-135.0538,60.1,58,40,2.3,CA,1627235454
183,Shalya,57.2471,58.7298,52.34,65,28,1.41,RU,1627235626
184,Fallon,39.4735,-118.7774,91.45,14,75,8.05,US,1627235627
185,Malanje,-9.5402,16.341,73.49,25,3,3.91,AO,1627235539
186,Batemans Bay,-35.7167,150.1833,60.1,56,49,13.73,AU,1627235627
187,Yar-Sale,66.8333,70.8333,49.73,77,56,19.24,RU,1627235627
188,Santa Isabel,-23.3156,-46.2214,83.37,19,0,4.74,BR,1627235628
189,Bengkulu,-3.8004,102.2655,75.49,90,2,4.83,ID,1627235628
190,Bambous Virieux,-20.3428,57.7575,71.85,60,40,11.5,MU,1627235628
191,Itoman,26.1247,127.6694,80.98,94,75,12.66,JP,1627235628
192,Roebourne,-20.7833,117.1333,70.02,42,15,4.21,AU,1627235629
193,Ormara,25.2088,64.6357,82.24,85,92,15.57,PK,1627235629
194,Los Llanos de Aridane,28.6585,-17.9182,73.15,81,20,16.11,ES,1627235629
195,Phuket,8.0,98.25,88.09,79,20,11.5,TH,1627235375
196,Saint George,37.1041,-113.5841,91.33,45,10,1.99,US,1627235560
197,Poum,-20.2333,164.0167,72.1,79,5,14.52,NC,1627235630
198,Paamiut,61.994,-49.6678,44.69,70,79,4.72,GL,1627235521
199,Ketchikan,55.3422,-131.6461,57.18,82,100,1.45,US,1627235630
200,San Andrés,12.5847,-81.7006,86.02,74,40,11.5,CO,1627235630
201,Santa Cruz de la Sierra,-17.8,-63.1667,87.85,42,20,29.93,BO,1627235631
202,Kondinskoye,59.6481,67.41,54.59,54,46,8.16,RU,1627235631
203,Moutier,47.2782,7.3695,74.05,78,40,1.01,CH,1627235631
204,Nouadhibou,20.931,-17.0347,76.98,73,0,17.27,MR,1627235632
205,Sinjār,36.3209,41.8754,96.96,18,0,6.26,IQ,1627235632
206,Nanyang,32.9947,112.5328,76.95,79,1,1.34,CN,1627235632
207,Henties Bay,-22.116,14.2845,70.36,34,1,9.31,NA,1627235632
208,Karratha,-20.7377,116.8463,70.03,46,24,4.41,AU,1627235555
209,Maragogi,-9.0122,-35.2225,76.44,83,37,13.18,BR,1627235633
210,Kulhudhuffushi,6.6221,73.07,81.39,79,100,20.58,MV,1627235387
211,Liusha,27.2098,108.59,67.37,95,2,1.16,CN,1627235633
212,Skjervøy,70.0311,20.9714,51.8,98,100,7.49,NO,1627235633
213,Khatanga,71.9667,102.5,50.34,83,54,7.25,RU,1627235634
214,Mayor Pablo Lagerenza,-19.9309,-60.7718,98.47,18,0,17.87,PY,1627235634
215,Ngunguru,-35.6167,174.5,58.15,93,100,20.42,NZ,1627235634
216,Hailin,44.5833,129.4167,71.44,79,77,2.86,CN,1627235634
217,Yulara,-25.2406,130.9889,46.24,57,69,4.61,AU,1627235569
218,Beringovskiy,63.05,179.3167,51.33,91,98,1.83,RU,1627235635
219,Port Lincoln,-34.7333,135.8667,55.24,86,41,17.36,AU,1627235488
220,Kapaa,22.0752,-159.319,79.12,84,75,1.99,US,1627235479
221,Goshogawara,40.8044,140.4414,73.11,92,26,5.41,JP,1627235635
222,Leningradskiy,69.3833,178.4167,37.62,90,100,4.63,RU,1627235388
223,Provideniya,64.3833,-173.3,46.71,99,100,6.67,RU,1627235635
224,Kungur,57.4368,56.9593,55.81,61,77,4.52,RU,1627235636
225,Denpasar,-8.65,115.2167,74.86,88,40,4.61,ID,1627235621
226,Zemio,5.0314,25.1361,71.08,90,82,3.76,CF,1627235636
227,Dogondoutchi,13.6393,4.0287,92.5,42,42,8.68,NE,1627235636
228,Bagé,-31.3314,-54.1069,80.38,41,0,14.97,BR,1627235637
229,Puerto Escondido,15.85,-97.0667,88.27,61,59,7.54,MX,1627235637
230,Hong Kong,22.2855,114.1577,86.38,83,20,1.01,HK,1627235554
231,Hailey,43.5196,-114.3153,65.05,25,0,3.0,US,1627235637
232,Farīdkot,30.6667,74.75,93.4,51,84,7.2,IN,1627235637
233,Ponta do Sol,32.6667,-17.1,78.71,76,6,5.08,PT,1627235636
234,Black River,18.0264,-77.8487,87.8,64,26,7.0,JM,1627235638
235,Sitka,57.0531,-135.33,55.29,82,90,4.61,US,1627235384
236,Ribeira Grande,38.5167,-28.7,73.8,83,40,8.05,PT,1627235601
237,Srednekolymsk,67.45,153.6833,39.24,76,100,15.68,RU,1627235612
238,Malatya Province,38.5,38.0,77.05,32,20,3.44,TR,1627235638
239,Myitkyina,25.3833,97.4,73.96,99,100,0.81,MM,1627235638
240,Eucaliptus,-17.5833,-67.5167,55.09,25,2,8.05,BO,1627235639
241,Cabo Rojo,18.0866,-67.1457,91.38,69,67,4.0,PR,1627235639
242,Ukiah,39.1502,-123.2078,95.43,40,1,4.61,US,1627235402
243,Wanning,18.8003,110.3967,79.72,90,86,11.27,CN,1627235640
244,Vestmannaeyjar,63.4427,-20.2734,54.59,82,75,27.63,IS,1627235640
245,Guerrero Negro,27.9769,-114.0611,76.05,61,60,9.53,MX,1627235640
246,Yafran,32.0633,12.5286,85.23,23,0,14.52,LY,1627235640
247,Kingman,35.1894,-114.053,83.52,45,73,4.0,US,1627235641
248,Dunedin,-45.8742,170.5036,50.81,64,100,14.0,NZ,1627235641
249,Okhotsk,59.3833,143.3,55.54,98,100,5.79,RU,1627235513
250,Pangnirtung,66.1451,-65.7125,46.4,100,90,9.22,CA,1627235641
251,Haines Junction,60.7522,-137.5108,53.55,66,97,3.44,CA,1627235642
252,Yellowknife,62.456,-114.3525,60.3,51,20,4.61,CA,1627235642
253,Mīzan Teferī,6.9833,35.5833,58.33,98,100,2.37,ET,1627235642
254,Mount Gambier,-37.8333,140.7667,51.71,93,90,16.11,AU,1627235642
255,Nagbalaye,9.2492,122.8759,81.1,84,27,7.11,PH,1627235643
256,Miles City,46.4083,-105.8406,95.63,13,0,9.26,US,1627235643
257,Pisco,-13.7,-76.2167,67.01,72,75,6.91,PE,1627235563
258,Riberalta,-10.9833,-66.1,89.8,51,20,6.91,BO,1627235643
259,Faanui,-16.4833,-151.75,77.77,66,2,13.11,PF,1627235512
260,Tsabong,-26.0217,22.401,53.29,29,48,9.57,BW,1627235644
261,Mogadishu,2.0371,45.3438,76.1,79,36,21.85,SO,1627235644
262,Athabasca,54.7169,-113.2854,72.01,31,98,10.83,CA,1627235644
263,Godda,24.8333,87.2167,85.08,74,100,5.06,IN,1627235644
264,Ipoti,7.8738,5.0769,69.71,91,59,5.64,NG,1627235645
265,Viedma,-40.8135,-62.9967,56.28,34,14,12.1,AR,1627235645
266,Plettenberg Bay,-34.0527,23.3716,59.14,50,77,3.65,ZA,1627235577
267,Itarema,-2.9248,-39.9167,86.34,52,47,18.19,BR,1627235640
268,Trincomalee,8.5711,81.2335,81.77,76,92,24.63,LK,1627235518
269,Viseu,40.661,-7.9097,71.85,73,70,6.98,PT,1627235645
270,Nālūt,30.3333,10.85,92.84,10,0,10.07,LY,1627235646
271,Ballina,-28.8667,153.5667,48.78,81,0,3.44,AU,1627235646
272,Liaoyang,41.2719,123.1731,73.72,87,90,3.8,CN,1627235646
273,Shimoda,34.6667,138.95,77.11,87,6,7.67,JP,1627235571
274,Talara,-4.5772,-81.2719,75.96,73,40,13.8,PE,1627235647
275,Copiapó,-27.3667,-70.3333,55.09,32,0,7.47,CL,1627235647
276,Taganak,6.0833,118.3,75.34,73,48,7.92,PH,1627235647
277,Mackay,-21.15,149.2,54.05,87,3,5.75,AU,1627235647
278,Arrondissement de Dinan,48.4167,-2.25,67.21,77,58,11.07,FR,1627235648
279,Vanimo,-2.6741,141.3028,74.73,81,100,3.4,PG,1627235648
280,Kununurra,-15.7667,128.7333,60.78,82,25,0.0,AU,1627235648
281,Sabha,27.0377,14.4283,90.18,15,0,11.36,LY,1627235648
282,Warrington,53.3925,-2.5802,77.23,62,20,5.01,GB,1627235649
283,Ural,55.9078,94.7464,62.01,80,0,3.24,RU,1627235649
284,Puerto Lempira,15.2667,-83.7667,84.92,66,98,7.74,HN,1627235649
285,Segamat,2.5148,102.8158,80.42,84,23,4.21,MY,1627235649
286,Bilibino,68.0546,166.4372,44.28,75,12,4.94,RU,1627235650
287,Paphos,34.7667,32.4167,82.24,78,0,11.5,CY,1627235650
288,Clifton,40.8584,-74.1638,85.51,71,75,8.99,US,1627235650
289,Pevek,69.7008,170.3133,34.86,90,100,9.48,RU,1627235535
290,Nelson Bay,-32.7167,152.15,54.09,61,10,3.0,AU,1627235651
291,Kayalpattinam,8.5667,78.1167,83.25,68,95,15.32,IN,1627235651
292,Gannan,47.9147,123.5031,68.86,95,100,1.74,CN,1627235651
293,Qaqortoq,60.7167,-46.0333,48.04,61,99,5.32,GL,1627235538
294,Tyrma,50.0833,132.1667,66.74,96,100,0.83,RU,1627235652
295,Calabozo,8.9242,-67.4293,81.75,75,100,4.16,VE,1627235652
296,Faya,18.3851,42.4509,66.31,71,93,4.16,SA,1627235543
297,Jalu,29.0331,21.5482,89.51,22,0,7.74,LY,1627235386
298,Kidal,18.4411,1.4078,82.33,51,71,24.43,ML,1627235652
299,Araouane,18.9048,-3.5265,105.31,18,56,8.03,ML,1627235653
300,Honningsvåg,70.9821,25.9704,45.52,76,99,14.76,NO,1627235653
301,Issaquah,47.5301,-122.0326,80.13,58,2,1.01,US,1627235653
302,Jiayuguan City,39.8167,98.3,74.82,39,97,5.66,CN,1627235458
303,Petukhovo,55.0692,67.9019,59.27,85,76,10.83,RU,1627235653
304,Whyalla,-33.0333,137.5833,48.09,87,2,10.36,AU,1627235654
305,Chokurdakh,70.6333,147.9167,35.15,80,2,10.04,RU,1627235654
306,Banda Aceh,5.5577,95.3222,80.19,83,92,6.04,ID,1627235400
307,East London,-33.0153,27.9116,59.94,72,0,6.91,ZA,1627235654
308,Longyan,25.1072,117.0225,73.8,96,72,3.65,CN,1627235655
309,Byron Bay,-28.65,153.6167,48.7,63,1,7.18,AU,1627235655
310,Crotone,39.0851,17.1178,79.93,67,1,11.32,IT,1627235655
311,Bethel,41.3712,-73.414,79.2,86,99,1.01,US,1627235655
312,Lata,40.1629,-8.3327,75.04,76,83,8.99,PT,1627235656
313,Pacific Grove,36.6177,-121.9166,75.63,86,40,5.01,US,1627235432
314,Chihuahua,28.5,-106.0,82.6,33,56,4.9,MX,1627235568
315,Tuktoyaktuk,69.4541,-133.0374,53.6,100,90,19.57,CA,1627235493
316,Eydhafushi,5.1033,73.0708,81.48,78,99,17.69,MV,1627235656
317,Dicabisagan,17.0818,122.4157,81.18,73,99,3.67,PH,1627235656
318,Areosa,41.7178,-8.8571,77.68,78,64,10.22,PT,1627235657
319,Talnakh,69.4865,88.3972,56.3,94,100,6.33,RU,1627235490
320,Filimonovo,56.2011,95.4611,64.69,71,2,5.61,RU,1627235657
321,Florø,61.5996,5.0328,75.9,64,20,14.97,NO,1627235657
322,Ilulissat,69.2167,-51.1,44.96,56,76,7.36,GL,1627235658
323,Lüleburgaz,41.4039,27.3592,74.57,67,0,10.78,TR,1627235658
324,Bose,45.4612,8.0137,80.19,86,45,3.85,IT,1627235658
325,Pringsewu,-5.3582,104.9744,68.92,91,0,1.12,ID,1627235658
326,Westport,41.1415,-73.3579,81.28,86,90,1.01,US,1627235444
327,Thongwa,16.7619,96.5278,77.16,88,100,13.24,MM,1627235659
328,Iqaluit,63.7506,-68.5145,46.13,93,90,4.0,CA,1627235368
329,Ārvi,20.9833,78.2333,76.48,87,31,10.56,IN,1627235659
330,Puerto del Rosario,28.5004,-13.8627,78.48,73,0,14.97,ES,1627235659
331,Almaty,43.25,76.95,76.91,36,0,4.47,KZ,1627235469
332,Mattru,7.6244,-11.8332,75.97,88,98,4.63,SL,1627235660
333,Progreso,21.2833,-89.6667,92.1,65,99,8.95,MX,1627235660
334,Daugavpils,55.8833,26.5333,67.82,58,0,4.18,LV,1627235660
335,Samagaltay,50.6022,95.0047,59.11,88,95,3.49,RU,1627235660
336,Touros,-5.1989,-35.4608,85.1,60,14,18.21,BR,1627235661
337,Sioux Lookout,50.1001,-91.917,79.18,47,40,14.97,CA,1627235661
338,Brae,60.3964,-1.353,60.71,74,64,3.83,GB,1627235661
339,Qui Nhon,13.7667,109.2333,81.16,70,60,18.95,VN,1627235661
340,Sanandij,35.3144,46.9923,86.04,14,0,5.08,IR,1627235662
341,Merta,26.65,74.0333,82.92,78,64,16.04,IN,1627235662
342,Vila do Maio,15.1333,-23.2167,81.39,70,55,10.09,CV,1627235662
343,Warrnambool,-38.3833,142.4833,51.82,90,96,18.3,AU,1627235662
344,Prince Rupert,54.3161,-130.3201,57.29,91,90,2.3,CA,1627235663
345,Arkhara,49.4212,130.0842,69.64,86,100,8.1,RU,1627235663
346,Kotido,2.9806,34.1331,65.32,73,100,12.66,UG,1627235663
347,Pangody,65.85,74.4859,52.34,69,100,11.74,RU,1627235553
348,Dudinka,69.4058,86.1778,54.55,89,90,1.66,RU,1627235540
349,Wanaka,-44.7,169.15,44.11,99,100,1.9,NZ,1627235664
350,Nandyāl,15.4833,78.4833,82.38,66,74,13.85,IN,1627235664
351,Nueve de Julio,-35.4444,-60.8831,57.7,50,24,12.06,AR,1627235455
352,Shenjiamen,29.9576,122.298,78.12,89,100,34.78,CN,1627235381
353,Swan Hill,-35.3378,143.5544,46.42,96,16,9.26,AU,1627235665
354,Khovd,48.0056,91.6419,67.46,54,73,4.47,MN,1627235665
355,Dingle,10.9995,122.6711,76.84,91,73,8.41,PH,1627235665
356,Adré,13.4667,22.2,72.34,93,82,12.71,TD,1627235665
